stock_id,date,stock_deal,stock_follow,stock_tweet
SH601318,2018-07-21,2905.0,795493.0,219083.0
SH601313,2018-07-21,2309.0,60689.0,78318.0
SZ000651,2018-07-21,1993.0,521112.0,267945.0
SH601166,2018-07-21,1791.0,748678.0,138265.0
SH600016,2018-07-21,1388.0,649665.0,93888.0
SH601668,2018-07-21,1258.0,319455.0,74903.0
SZ000001,2018-07-21,1141.0,362876.0,54390.0
SH600036,2018-07-21,1011.0,909296.0,209934.0
SZ002230,2018-07-21,976.0,471249.0,116106.0
SZ000725,2018-07-21,958.0,403672.0,72636.0
SH600887,2018-07-21,946.0,400804.0,77063.0
SH600519,2018-07-21,855.0,629324.0,194456.0
SZ000002,2018-07-21,827.0,488416.0,172569.0
SZ000333,2018-07-21,823.0,275254.0,52345.0
SH600516,2018-07-21,817.0,136055.0,85264.0
SH600340,2018-07-21,697.0,139339.0,54914.0
SH601288,2018-07-21,681.0,373702.0,45143.0
SH600487,2018-07-21,650.0,134930.0,33108.0
SZ000625,2018-07-21,637.0,189096.0,80459.0
SH600048,2018-07-21,611.0,274910.0,45020.0
SH600886,2018-07-21,610.0,363437.0,12658.0
SH600309,2018-07-21,604.0,145651.0,45261.0
SZ000063,2018-07-21,603.0,253285.0,52851.0
SH600104,2018-07-21,592.0,185431.0,30097.0
SZ002024,2018-07-21,585.0,635897.0,181352.0
SZ002415,2018-07-21,575.0,303306.0,37078.0
SZ000895,2018-07-21,571.0,187846.0,26053.0
SH600050,2018-07-21,565.0,238391.0,58945.0
SH600196,2018-07-21,560.0,332793.0,54996.0
SH601939,2018-07-21,543.0,306485.0,41619.0
SZ002466,2018-07-21,539.0,223197.0,20726.0
SZ000423,2018-07-21,532.0,316802.0,52448.0
SH600030,2018-07-21,527.0,453834.0,102089.0
SZ300059,2018-07-21,522.0,326937.0,52598.0
SH600585,2018-07-21,500.0,145704.0,42282.0
SH600276,2018-07-21,496.0,278418.0,48700.0
SZ000858,2018-07-21,488.0,295423.0,59342.0
SH600660,2018-07-21,469.0,223780.0,36696.0
SH600184,2018-07-21,467.0,53212.0,
SZ002456,2018-07-21,465.0,121155.0,12089.0
SZ002508,2018-07-21,461.0,121877.0,21794.0
SH601988,2018-07-21,460.0,420803.0,53757.0
