stock_id,date,deal_change,follow_change,tweet_change
SH601318,2018-07-22,0.0,0.0,0.0
SH601313,2018-07-22,0.0,0.0,0.0
SZ000651,2018-07-22,0.0,0.0,0.0
SH601166,2018-07-22,0.0,0.0,0.0
SH600016,2018-07-22,0.0,0.0,0.0
SH601668,2018-07-22,0.0,0.0,0.0
SZ000001,2018-07-22,0.0,0.0,0.0
SH600036,2018-07-22,0.0,0.0,0.0
SZ002230,2018-07-22,0.0,0.0,0.0
SZ000725,2018-07-22,0.0,0.0,0.0
SH600887,2018-07-22,0.0,0.0,0.0
SH600519,2018-07-22,0.0,0.0,0.0
SZ000002,2018-07-22,0.0,0.0,0.0
SZ000333,2018-07-22,0.0,0.0,0.0
SH600516,2018-07-22,0.0,0.0,0.0
SH600340,2018-07-22,0.0,0.0,0.0
SH601288,2018-07-22,0.0,0.0,0.0
SH600487,2018-07-22,0.0,0.0,0.0
SZ000625,2018-07-22,0.0,0.0,0.0
SH600048,2018-07-22,0.0,0.0,0.0
SH600886,2018-07-22,0.0,0.0,0.0
SH600309,2018-07-22,0.0,0.0,0.0
SZ000063,2018-07-22,0.0,0.0,0.0
SH600104,2018-07-22,0.0,0.0,0.0
SZ002024,2018-07-22,0.0,0.0,0.0
SZ002415,2018-07-22,0.0,0.0,0.0
SZ000895,2018-07-22,0.0,0.0,0.0
SH600050,2018-07-22,0.0,0.0,0.0
SH600196,2018-07-22,0.0,0.0,0.0
SH601939,2018-07-22,0.0,0.0,0.0
SZ002466,2018-07-22,0.0,0.0,0.0
SZ000423,2018-07-22,0.0,0.0,0.0
SH600030,2018-07-22,0.0,0.0,0.0
SZ300059,2018-07-22,0.0,0.0,0.0
SH600585,2018-07-22,0.0,0.0,0.0
SH600276,2018-07-22,0.0,0.0,0.0
SZ000858,2018-07-22,0.0,0.0,0.0
SH600660,2018-07-22,0.0,0.0,0.0
SH600184,2018-07-22,0.0,0.0,
SZ002456,2018-07-22,0.0,0.0,0.0
SZ002508,2018-07-22,0.0,0.0,0.0
SH601988,2018-07-22,0.0,0.0,0.0
SH601155,2018-07-22,0.0,0.0,0.0
SH600004,2018-07-22,0.0,0.0,0.0
SH601933,2018-07-22,0.0,0.0,0.0
SH601398,2018-07-22,0.0,0.0,0.0
SZ002450,2018-07-22,0.0,0.0,0.0
SZ002129,2018-07-22,0.0,0.0,0.0
SZ000983,2018-07-22,0.0,0.0,0.0
SH600000,2018-07-22,0.0,0.0,0.0
SH603993,2018-07-22,0.0,0.0,0.0
SZ002310,2018-07-22,0.0,0.0,0.0
SH600703,2018-07-22,0.0,0.0,0.0
SZ300104,2018-07-22,0.0,0.0,0.0
SZ002594,2018-07-22,0.0,0.0,0.0
SH601766,2018-07-22,0.0,0.0,0.0
SH601336,2018-07-22,0.0,0.0,0.0
SZ002460,2018-07-22,0.0,0.0,0.0
SZ000538,2018-07-22,0.0,0.0,0.0
SH601088,2018-07-22,0.0,0.0,0.0
SH600690,2018-07-22,0.0,0.0,0.0
SZ000671,2018-07-22,0.0,0.0,0.0
SH601601,2018-07-22,0.0,0.0,0.0
SZ002797,2018-07-22,0.0,0.0,0.0
SZ000792,2018-07-22,0.0,0.0,0.0
SH600816,2018-07-22,0.0,0.0,0.0
SH600176,2018-07-22,0.0,0.0,0.0
SH600028,2018-07-22,0.0,0.0,0.0
SZ000338,2018-07-22,0.0,0.0,0.0
SZ000786,2018-07-22,0.0,0.0,0.0
SZ300072,2018-07-22,0.0,0.0,0.0
SH600570,2018-07-22,0.0,0.0,0.0
SH601009,2018-07-22,0.0,0.0,0.0
SZ002007,2018-07-22,0.0,0.0,0.0
SH601229,2018-07-22,0.0,,0.0
SZ002049,2018-07-22,0.0,0.0,0.0
SZ002027,2018-07-22,0.0,0.0,0.0
SZ300017,2018-07-22,0.0,0.0,0.0
SH601899,2018-07-22,0.0,0.0,0.0
SZ002597,2018-07-22,0.0,0.0,0.0
SZ300296,2018-07-22,0.0,0.0,0.0
